"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: W5 Mapping"
"Contract.valuedItem.quantity","","","",0,1,"","","","Quantity {http://hl7.org/fhir/StructureDefinition/SimpleQuantity}
","Count of Contract Valued Items","Specifies the units by which the Contract Valued Item is measured or counted, and quantifies the countable or measurable Contract Valued Item instances.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem.quantity",0,1,"","","COCT_RM440000UV09 ValuedItem unitQuantity"
"Contract.valuedItem.unitPrice","","","",0,1,"","","","Money
","Contract Valued Item fee, charge, or cost","A Contract Valued Item unit valuation measure.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem.unitPrice",0,1,"","","COCT_RM440000UV09 ValuedItem unitPriceAmt"
"Contract.valuedItem.factor","","","",0,1,"","","","decimal
","Contract Valued Item Price Scaling Factor","A real number that represents a multiplier used in determining the overall value of the Contract Valued Item delivered. The concept of a Factor allows for a discount or surcharge multiplier to be applied to a monetary amount.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem.factor",0,1,"","","COCT_RM440000UV09 ValuedItem factorNumber"
"Contract.valuedItem.points","","","",0,1,"","","","decimal
","Contract Valued Item Difficulty Scaling Factor","An amount that expresses the weighting (based on difficulty, cost and/or resource intensiveness) associated with the Contract Valued Item delivered. The concept of Points allows for assignment of point values for a Contract Valued Item, such that a monetary amount can be assigned to each point.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem.points",0,1,"","","COCT_RM440000UV09 ValuedItem pointNumber"
"Contract.valuedItem.net","","","",0,1,"","","","Money
","Total Contract Valued Item Value","Expresses the product of the Contract Valued Item unitQuantity and the unitPriceAmt. For example, the formula: unit Quantity * unit Price (Cost per Point) * factor Number  * points = net Amount. Quantity, factor and points are assumed to be 1 if not supplied.","","","","","","","","","",,,,,"",,,,"Contract.valuedItem.net",0,1,"","","COCT_RM440000UV09 ValuedItem netAmt"
"Contract.term","","","",0,*,"","","","BackboneElement
","Contract Term List","One or more Contract Provisions, which may be related and conveyed as a group, and may contain nested groups.","","","","","","","","","",,,,,"",,,,"Contract.term",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
"
"Contract.term.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.term.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.term.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.term.identifier","","","",0,1,"","","Y","Identifier
","Contract Term identifier","Unique identifier for this particular Contract Provision.","","","","","","","","","",,,,,"",,,,"Contract.term.identifier",0,1,"",""
"Contract.term.issued","","","",0,1,"","","Y","dateTime
","Contract Term Issue Date Time","When this Contract Provision was issued.","","","","","","","","","",,,,,"",,,,"Contract.term.issued",0,1,"",""
"Contract.term.applies","","","",0,1,"","","Y","Period
","Contract Term Effective Time","Relevant time or time-period when this Contract Provision is applicable.","","","","","","","","","",,,,,"",,,,"Contract.term.applies",0,1,"",""
"Contract.term.type","","","",0,1,"","","","CodeableConcept
","Contract Term Type","Type of Contract Provision such as specific requirements, purposes for actions, obligations, prohibitions, e.g. life time maximum benefit.","","","","","","","","","",,"example","Detailed codes for the types of contract provisions.","http://hl7.org/fhir/ValueSet/contract-term-type","",,,,"Contract.term.type",0,1,"",""
"Contract.term.subType","","","",0,1,"","","","CodeableConcept
","Contract Term Subtype","Subtype of this Contract Provision, e.g. life time maximum payment for a contract term for specific valued item, e.g. disability payment.","","","","","","","","","",,"example","Detailed codes for the subtypes of contract provisions.","http://hl7.org/fhir/ValueSet/contract-term-subtype","",,,,"Contract.term.subType",0,1,"",""
"Contract.term.topic","","","",0,*,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Resource}
","Context of the Contract term","The matter of concern in the context of this provision of the agrement.","The Contract.term.topic, as a Contract Resource subpart, is handled in the same manner as the Contract Resource as discussed above.","A contract term topic is typically about a portion of the contract topic which has additional or specialized rights, privileges, obligations, restrictions, and prohibitions that are binding on any grantor and grantee parties upon the execution of the contract.  Contract.term.topic may be described in more detail in the [0..*] Contract.term.valuedItem @[0..1] Contract.term.valuedItem [x] Definition: Specific type of Contract Provision Valued Item that may be priced. CodeableConcept|Reference(Any) [See Contract.topic Requirements for further elaboration on this requirement.].","","","","","","","",,,,,"",,,,"Contract.term.topic",0,*,"","","Role"
"Contract.term.action","","","",0,*,"","","","CodeableConcept
","Contract Term Action","Action stipulated by this Contract Provision.","","","","","","","","","",,"example","Detailed codes for the contract action.","http://hl7.org/fhir/ValueSet/contract-action","",,,,"Contract.term.action",0,*,"",""
"Contract.term.actionReason","","","",0,*,"","","","CodeableConcept
","Contract Term Action Reason","Reason or purpose for the action stipulated by this Contract Provision.","","","","","","","","","",,"example","Detailed codes for the contract action reason.","http://hl7.org/fhir/ValueSet/v3-PurposeOfUse","",,,,"Contract.term.actionReason",0,*,"",""
"Contract.term.agent","","","",0,*,"","","","BackboneElement
","Contract Term Agent List","An actor taking a role in an activity for which it can be assigned some degree of responsibility for the activity taking place.","Several agents may be associated (i.e. has some responsibility for an activity) with an activity and vice-versa. For example, in cases of actions initiated by one user for other users, or in events that involve more than one user, hardware device, software, or system process. However, only one user may be the initiator/requestor for the event.","An agent can be a person, an organization, software, device, or other entities that may be ascribed responsibility.","","","","","","","",,,,,"",,,,"Contract.term.agent",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
"
"Contract.term.agent.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.term.agent.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.term.agent.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.term.agent.actor","","","",1,1,"","","","Reference {http://hl7.org/fhir/StructureDefinition/Contract}
Reference {http://hl7.org/fhir/StructureDefinition/Device}Reference {http://hl7.org/fhir/StructureDefinition/Group}Reference {http://hl7.org/fhir/StructureDefinition/Location}Reference {http://hl7.org/fhir/StructureDefinition/Organization}Reference {http://hl7.org/fhir/StructureDefinition/Patient}Reference {http://hl7.org/fhir/StructureDefinition/Practitioner}Reference {http://hl7.org/fhir/StructureDefinition/RelatedPerson}Reference {http://hl7.org/fhir/StructureDefinition/Substance}","Contract Term Agent List","The agent assigned a role in this Contract Provision.","","","","","","","","","",,,,,"",,,,"Contract.term.agent.actor",1,1,"",""
"Contract.term.agent.role","","","",0,*,"","","","CodeableConcept
","Contract Term Agent Role","Role played by the agent assigned this role in the execution of this Contract Provision.","","","","","","","","","",,"example","Detailed codes for the contract actor role.","http://hl7.org/fhir/ValueSet/contract-actorrole","",,,,"Contract.term.agent.role",0,*,"",""
"Contract.term.text","","","",0,1,"","","","string
","Human readable Contract term text","Human readable form of this Contract Provision.","","","","","","","","","",,,,,"",,,,"Contract.term.text",0,1,"",""
"Contract.term.valuedItem","","","",0,*,"","","","BackboneElement
","Contract Term Valued Item","Contract Provision Valued Item List.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
","COCT_RM440000UV09 ValuedUnitItem classCode INVE"
"Contract.term.valuedItem.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.term.valuedItem.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.term.valuedItem.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.term.valuedItem.entity[x]","","","",0,1,"","","","CodeableConcept
Reference {http://hl7.org/fhir/StructureDefinition/Resource}","Contract Term Valued Item Type","Specific type of Contract Provision Valued Item that may be priced.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.entity[x]",0,1,"","","COCT_RM440000UV09 ValuedUnitItem code"
"Contract.term.valuedItem.identifier","","","",0,1,"","","","Identifier
","Contract Term Valued Item Identifier","Identifies a Contract Provision Valued Item instance.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.identifier",0,1,"","","COCT_RM440000UV09 ValuedUnitItem id"
"Contract.term.valuedItem.effectiveTime","","","",0,1,"","","","dateTime
","Contract Term Valued Item Effective Tiem","Indicates the time during which this Contract Term ValuedItem information is effective.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.effectiveTime",0,1,"","","COCT_RM440000UV09 ValuedUnitItem effectiveTime"
"Contract.term.valuedItem.quantity","","","",0,1,"","","","Quantity {http://hl7.org/fhir/StructureDefinition/SimpleQuantity}
","Contract Term Valued Item Count","Specifies the units by which the Contract Provision Valued Item is measured or counted, and quantifies the countable or measurable Contract Term Valued Item instances.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.quantity",0,1,"","","COCT_RM440000UV09 ValuedUnitItem unitQuantity"
"Contract.term.valuedItem.unitPrice","","","",0,1,"","","","Money
","Contract Term Valued Item fee, charge, or cost","A Contract Provision Valued Item unit valuation measure.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.unitPrice",0,1,"","","COCT_RM440000UV09 ValuedUnitItem unitPriceAmt"
"Contract.term.valuedItem.factor","","","",0,1,"","","","decimal
","Contract Term Valued Item Price Scaling Factor","A real number that represents a multiplier used in determining the overall value of the Contract Provision Valued Item delivered. The concept of a Factor allows for a discount or surcharge multiplier to be applied to a monetary amount.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.factor",0,1,"","","COCT_RM440000UV09 ValuedUnitItem factorNumber"
"Contract.term.valuedItem.points","","","",0,1,"","","","decimal
","Contract Term Valued Item Difficulty Scaling Factor","An amount that expresses the weighting (based on difficulty, cost and/or resource intensiveness) associated with the Contract Provision Valued Item delivered. The concept of Points allows for assignment of point values for a Contract ProvisionValued Item, such that a monetary amount can be assigned to each point.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.points",0,1,"","","COCT_RM440000UV09 ValuedUnitItem pointNumber"
"Contract.term.valuedItem.net","","","",0,1,"","","","Money
","Total Contract Term Valued Item Value","Expresses the product of the Contract Provision Valued Item unitQuantity and the unitPriceAmt. For example, the formula: unit Quantity * unit Price (Cost per Point) * factor Number  * points = net Amount. Quantity, factor and points are assumed to be 1 if not supplied.","","","","","","","","","",,,,,"",,,,"Contract.term.valuedItem.net",0,1,"",""
"Contract.term.group","","","",0,*,"","","","","Nested Contract Term Group","Nested group of Contract Provisions.","","","","","","","","","",,,,,"",,,,"Contract.term.group",0,*,"",""
"Contract.binding[x]","","","",0,1,"","","","Attachment
Reference {http://hl7.org/fhir/StructureDefinition/Composition}Reference {http://hl7.org/fhir/StructureDefinition/DocumentReference}Reference {http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse}","Binding Contract","Legally binding Contract: This is the signed and legally recognized representation of the Contract, which is considered the ""source of truth"" and which would be the basis for legal action related to enforcement of this Contract.","","","","","","","","","",,,,,"",,,,"Contract.binding[x]",0,1,"",""
"Contract.friendly","","","",0,*,"","","","BackboneElement
","Contract Friendly Language","The ""patient friendly language"" versionof the Contract in whole or in parts. ""Patient friendly language"" means the representation of the Contract and Contract Provisions in a manner that is readily accessible and understandable by a layperson in accordance with best practices for communication styles that ensure that those agreeing to or signing the Contract understand the roles, actions, obligations, responsibilities, and implication of the agreement.","","","","","","","","","",,,,,"",,,,"Contract.friendly",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
"
"Contract.friendly.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.friendly.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.friendly.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.friendly.content[x]","","","",1,1,"","","","Attachment
Reference {http://hl7.org/fhir/StructureDefinition/Composition}Reference {http://hl7.org/fhir/StructureDefinition/DocumentReference}Reference {http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse}","Easily comprehended representation of this Contract","Human readable rendering of this Contract in a format and representation intended to enhance comprehension and ensure understandability.","","","","","","","","","",,,,,"",,,,"Contract.friendly.content[x]",1,1,"",""
"Contract.legal","","","",0,*,"","","","BackboneElement
","Contract Legal Language","List of Legal expressions or representations of this Contract.","","","","","","","","","",,,,,"",,,,"Contract.legal",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
"
"Contract.legal.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.legal.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.legal.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.legal.content[x]","","","",1,1,"","","","Attachment
Reference {http://hl7.org/fhir/StructureDefinition/Composition}Reference {http://hl7.org/fhir/StructureDefinition/DocumentReference}Reference {http://hl7.org/fhir/StructureDefinition/QuestionnaireResponse}","Contract Legal Text","Contract legal text in human renderable form.","","","","","","","","","",,,,,"",,,,"Contract.legal.content[x]",1,1,"",""
"Contract.rule","","","",0,*,"","","","BackboneElement
","Computable Contract Language","List of Computable Policy Rule Language Representations of this Contract.","","","","","","","","","",,,,,"",,,,"Contract.rule",0,*,"","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
"
"Contract.rule.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Contract.rule.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","n/a"
"Contract.rule.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the element, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","","N/A"
"Contract.rule.content[x]","","","",1,1,"","","","Attachment
Reference {http://hl7.org/fhir/StructureDefinition/DocumentReference}","Computable Contract Rules","Computable Contract conveyed using a policy rule language (e.g. XACML, DKAL, SecPal).","","","","","","","","","",,,,,"",,,,"Contract.rule.content[x]",1,1,"",""
